player_name,team_name,role,predicted_performance,rating_5pt
Scott McTominay,Scotland,MF,0.36040936189517186,5.0
Bukayo Saka,England,FW,0.3510930137429743,5.0
Bernardo Silva,Portugal,FW,0.34579819795727396,5.0
Rodri,Spain,MF,0.3423414962297465,5.0
Kyle Walker,England,DF,0.2707882600783135,5.0
David Raya,Spain,GK,0.2702588270299254,5.0
Altay Bayındır,Türkiye,GK,0.26939573568706876,5.0
Jordan Pickford,England,GK,0.2693078951639144,5.0
John Stones,England,DF,0.2693078951639144,5.0
Rúben Dias,Portugal,DF,0.26885943669087375,5.0
Manuel Akanji,Switzerland,DF,0.2685605483315661,5.0
William Saliba,France,DF,0.26843937877709206,5.0
Martin Dúbravka,Slovakia,GK,0.26816195878196064,5.0
Wout Faes,Belgium,DF,0.26807226113554194,5.0
Timothy Castagne,Belgium,DF,0.2678304620618074,5.0
Nikola Milenković,Serbia,DF,0.26765617843666967,5.0
John McGinn,Scotland,MF,0.267632006473421,5.0
Andrew Robertson,Scotland,DF,0.26760320445062824,5.0
Kieran Tierney,Scotland,DF,0.2653747633005877,5.0
Jorginho,Italy,MF,0.26485085018016014,5.0
Bart Verbruggen,Netherlands,GK,0.2608730888185482,5.0
Illia Zabarnyi,Ukraine,DF,0.2604876749657036,5.0
Nathan Aké,Netherlands,DF,0.2576183481908473,5.0
Vitaliy Mykolenko,Ukraine,DF,0.25626046841086,5.0
İlkay Gündoğan,Germany,MF,0.2462307507272313,4.9
Ferdi Kadioglu,Türkiye,DF,0.24556988770659918,4.9
Marc Cucurella,Spain,DF,0.24432091657942798,4.9
Kieran Trippier,England,DF,0.24295432058058608,4.9
Amadou Onana,Belgium,MF,0.24126327424546892,4.9
Fabian Schär,Switzerland,DF,0.23643781797030092,4.9
Joško Gvardiol,Croatia,DF,0.23546973835414467,4.9
Marc Guéhi,England,DF,0.23443473110267357,4.9
Declan Rice,England,MF,0.23218422007774747,4.9
Saša Lukić,Serbia,MF,0.22980652715259106,4.9
Jakub Kiwior,Poland,DF,0.2263526669134823,4.9
Joachim Andersen,Denmark,DF,0.2260012247266982,4.9
Radu Drăgușin,Romania,DF,0.22515727269358227,4.9
Cody Gakpo,Netherlands,FW,0.22078755800737038,4.9
Diogo Dalot,Portugal,DF,0.22057570370860438,4.9
Jan Bednarek,Poland,DF,0.21493652191601492,4.9
Jannik Vestergaard,Denmark,DF,0.21312188950802083,4.9
Virgil van Dijk,Netherlands,DF,0.2129181174721493,4.9
Milos Kerkez,Hungary,DF,0.20670649508667444,4.9
Jeremy Doku,Belgium,FW,0.20443851213545855,4.9
Vladimír Coufal,Czechia,DF,0.20018156874003934,4.8
Phil Foden,England,FW,0.1963888206010429,4.8
Riccardo Calafiori,Italy,DF,0.16984469334508076,4.8
Youri Tielemans,Belgium,MF,0.14807135832867566,4.7
Tomáš Souček,Czechia,MF,0.10983819859251867,4.7
Mateo Kovačić,Croatia,MF,0.07304454242698248,4.6
Federico Chiesa,Italy,FW,0.06594023533882427,4.6
Kobbie Mainoo,England,MF,0.05203165004831194,4.5
Bruno Fernandes,Portugal,MF,0.03503505266573874,4.5
Christian Eriksen,Denmark,MF,0.030887828878626553,4.5
Kevin De Bruyne,Belgium,MF,0.02761096544755578,4.5
Dominik Szoboszlai,Hungary,MF,0.02134919004494654,4.5
Rasmus Højlund,Denmark,FW,-0.001201766565330814,4.4
Mykhailo Mudryk,Ukraine,FW,-0.030707398016526662,4.4
Oleksandr Zinchenko,Ukraine,DF,-0.035957660850613644,4.3
Leandro Trossard,Belgium,FW,-0.04289318395833997,4.3
Billy Gilmour,Scotland,MF,-0.051533919674417436,4.3
Kevin Danso,Austria,DF,-0.061460424674007266,4.3
Kai Havertz,Germany,FW,-0.3107909917566102,3.8
Donyell Malen,Netherlands,FW,-0.37923112896850913,3.6
Victor Bernth Kristiansen,Denmark,DF,-0.40898428172775253,3.5
Trent Alexander-Arnold,England,MF,-0.41003385141364607,3.5
João Félix,Portugal,MF,-0.41270154192752045,3.5
Armando Broja,Albania,FW,-0.41675059957289,3.5
Luke Shaw,England,DF,-0.8368461522904336,2.6
Ryan Christie,Scotland,MF,-0.8378717001209421,2.6
Pedro Neto,Portugal,DF,-0.8460142092199961,2.6
Ezri Konsa,England,DF,-0.8497456364102537,2.6
Jakub Moder,Poland,MF,-0.8548158957650386,2.6
Orel Mangala,Belgium,MF,-0.9598081208234629,2.4
Mikel Merino,Spain,MF,-0.9941445571398441,2.3
Ollie Watkins,England,FW,-1.081434728707762,2.1
Niclas Füllkrug,Germany,FW,-1.4991129469265077,1.2
Joshua Zirkzee,Netherlands,FW,-1.5613337123711817,1.1
Cole Palmer,England,MF,-1.572243503833623,1.0
Mikkel Damsgaard,Denmark,FW,-1.5763618871099963,1.0
Jarrod Bowen,England,FW,-1.5806526541427937,1.0
Christian Nørgaard,Denmark,MF,-1.5815235321935814,1.0
Eberechi Eze,England,DF,-1.5960964424838413,1.0
Nélson Semedo,Portugal,DF,-1.5985052601256555,1.0
Micky van de Ven,Netherlands,DF,-1.6015516026875334,1.0
Diogo Jota,Portugal,FW,-1.6062423441206803,1.0
Matheus Nunes,Portugal,MF,-1.6995875242664302,1.0
